0	1	2	3	4
5.1	3.5	0.12258751260157195	0.08719898042840075	0
4.9	3.0	0.042825276472047036	0.005185246365578267	0
4.7	3.2	0.46427541380942894	0.10993249557574183	0
4.6	3.1	0.8846729872076458	0.08706447852365538	0
5.0	3.6	0.07311181833782432	0.0840735604174978	0
5.4	3.9	0.11162823255084181	0.13213392840154967	0
4.6	3.4	0.0609016604836019	0.06139459021135275	0
5.0	3.4	0.5927261377012557	0.12385419327013275	0
4.4	2.9	0.9357978644224808	0.05993093473490463	0
4.9	3.1	0.2970406677242544	0.026682727510286663	0
5.4	3.7	1.3143996775562385	0.12422676655385899	0
4.8	3.4	0.6918225527117559	0.10582841885540782	0
4.8	3.0	0.8674980491939505	0.013457994534493357	0
4.3	3.0	0.31946941722848726	0.05135781212657464	0
5.8	4.0	0.7383054881571315	0.03688797312938306	0
5.7	4.4	1.430489943573484	0.3141340591266694	0
5.4	3.9	0.5824191314813165	0.34159011705579556	0
5.1	3.5	0.28986977355463994	0.14827105121457834	0
5.7	3.8	0.723124396239157	0.2539684456072404	0
5.1	3.8	0.6668613971456365	0.0238936431027183	0
5.4	3.4	0.8629497273423343	0.1010492180243408	0
5.1	3.7	0.7885998747164369	0.026114601754751245	0
4.6	3.6	0.042429191882546125	0.08562446551947789	0
5.1	3.3	0.27951244648920404	0.04826545783030628	0
4.8	3.4	0.8554316412730091	0.025431994340255493	0
5.0	3.0	1.1327538729902733	0.11934906179571916	0
5.0	3.4	1.244140653288854	0.09040480024169435	0
5.2	3.5	1.165654499204467	0.021389136861996595	0
5.2	3.4	0.70389025351291	0.04406124141411194	0
4.7	3.2	1.5307961492915962	0.06996525700065985	0
4.8	3.1	0.5309979400638014	0.09355749691646005	0
5.4	3.4	0.7221872435190498	0.08069729050598613	0
5.2	4.1	1.1225609990115544	0.06404067252149148	0
5.5	4.2	1.2009753258153193	0.09661396711035034	0
4.9	3.1	0.6216900826993672	0.05052367200185492	0
5.0	3.2	1.018421417120788	0.07737853022371187	0
5.5	3.5	0.577942224275922	0.15872749088831542	0
4.9	3.1	1.0736206264295314	0.05800041788778067	0
4.4	3.0	0.010982872652465647	0.032459719700462776	0
5.1	3.4	0.037802135506123435	0.14015046932143124	0
5.0	3.5	1.2225856416047152	0.28936532402677656	0
4.5	2.3	0.13277933270055153	0.15000250835106502	0
4.4	3.2	0.86055812757162	0.177904012789229	0
5.0	3.5	0.4532139901137933	0.2049681916026658	0
5.1	3.8	0.38160045317334623	0.22685765105108371	0
4.8	3.0	0.5436678549606627	0.128263788988833	0
5.1	3.8	1.481442554413599	0.08734945260535981	0
4.6	3.2	0.7983838936510067	0.15531183699942008	0
5.3	3.7	1.3750719179368238	0.10712083469953126	0
5.0	3.3	0.9831699371476148	0.19074844538897334	0
7.0	3.2	2.355717322929309	0.7618914242073429	1
6.4	3.2	2.277390750806875	0.12314238341253719	1
6.9	3.1	1.0722218530139265	0.5495136025125307	1
5.5	2.3	0.01865409094019954	1.1061056552058521	1
6.5	2.8	1.9220467224124924	0.6094125645719262	1
5.7	2.8	2.5351924965256583	0.03536307566330447	1
6.3	3.3	4.119840781589637	0.39548358239576537	1
4.9	2.4	2.236029972752101	0.06714437073695467	1
6.6	2.9	3.8747320120759676	1.2920076148476547	1
5.2	2.7	3.6120290190071875	1.358812438728043	1
5.0	2.0	3.293905557717678	0.8002583511325868	1
5.9	3.0	3.427280438082455	0.902725682108201	1
6.0	2.2	0.5255784219177753	0.7649598604516815	1
6.1	2.9	1.629161070454241	0.2369156252178491	1
5.6	2.9	0.7506089802918811	0.3809302013652717	1
6.7	3.1	3.8164787634887034	0.7336936254205099	1
5.6	3.0	3.5654859868781608	0.5349364216841384	1
5.8	2.7	1.4309067268038236	0.04567896524540005	1
6.2	2.2	2.561132394250359	1.4747301680358191	1
5.6	2.5	3.140013006997236	0.48549041129033144	1
5.9	3.2	3.9991739747230857	0.9072007908824747	1
6.1	2.8	0.823174707800288	0.4206037127951085	1
6.3	2.5	3.580332982577967	0.38961712912070556	1
6.1	2.8	3.7760465715494105	0.46426786238491485	1
6.4	2.9	0.18545485631945977	1.0816219695248512	1
6.6	3.0	0.47162457861895163	1.031445878801958	1
6.8	2.8	2.0884015193223724	0.5308947937182924	1
6.7	3.0	1.1044061093037205	0.02212947238073607	1
6.0	2.9	3.9627992977455633	1.1961074085488903	1
5.7	2.6	2.5189063820354396	0.2693887975963012	1
5.5	2.4	2.709427715478528	0.640953377381938	1
5.5	2.4	2.8484807308729976	0.025550941849692754	1
5.8	2.7	1.2899134020606786	0.794642423121991	1
6.0	2.7	1.1659122843488043	0.6200374813972505	1
5.4	3.0	2.8185478164046187	0.7456106981017689	1
6.0	3.4	1.8651566228642513	0.6638493397994996	1
6.7	3.1	4.402871039500674	0.5263078519524607	1
6.3	2.3	2.826790643172286	0.7162712769217451	1
5.6	3.0	1.5862914063507094	1.2647838968372724	1
5.5	2.5	3.420478643216762	0.14660907980949292	1
5.5	2.6	1.6754873683513156	0.37591023411565627	1
6.1	3.0	0.8202252077775128	0.05851679374143408	1
5.8	2.6	3.1266377026643255	0.8860797103450804	1
5.0	2.3	1.5582883384721447	0.657512387659044	1
5.6	2.7	1.089817698497964	0.27902647031993977	1
5.7	3.0	2.9080768327011706	0.5001041282344045	1
5.7	2.9	4.11803733179487	0.8369945143926536	1
6.2	2.9	1.058890432561496	0.8599257247300738	1
5.1	2.5	2.3707314077821358	0.1875248468321478	1
